name,keywords,content,note
bur - Bitte um Rückruf,DE,"ich konnte Sie telefonisch nicht erreichen. Können Sie mir bitte eine kurze E-Mail
schicken wenn Sie wieder verfügbar sind?",
ff - Für Fragen stehe ich...,DE,Für Fragen stehe ich gerne zur Verfügung!,
fwf - Für weitere Fragen stehe ich...,DE,Für weitere Fragen stehe ich gerne zur Verfügung!,
"glg - Ganz liebe Grüße,",DE,"Ganz liebe Grüße,",
"vg - Viele Grüße,",DE,"Viele Grüße,",
"lg - Liebe Grüße,",DE,"Liebe Grüße,",
"hallo - Hallo #{ticket.customer.firstname},",DE,"Hallo #{ticket.customer.firstname},",
"hf - Hallo Frau #{ticket.customer.lastname},",DE,"Hallo Frau #{ticket.customer.lastname},",
"hh - Hallo Herr #{ticket.customer.lastname},",DE,"Hallo Herr #{ticket.customer.lastname},",
ifm - Ich freue mich!,DE,Ich freue mich!,
"sgf - Sehr geehrte Frau #{ticket.customer.lastname},",DE,"Sehr geehrte Frau #{ticket.customer.lastname},",
"sgh - Sehr geehrter Herr #{ticket.customer.lastname},",DE,"Sehr geehrter Herr #{ticket.customer.lastname},",
vdfdra - Vielen Dank für die rasche Antwort!,DE,Vielen Dank für die rasche Antwort!,
vdff - Vielen Dank für das Feedback!,DE,Vielen Dank für das Feedback!,
vdfia - Vielen Dank für Ihre Anfrage,DE,Vielen Dank für Ihre Anfrage.,
üff - Über Feedback würde ich mich freuen!,DE,Über Feedback würde ich mich freuen!,
üfwf - Über Feedback zum weiteren Vorgehen würde ich mich freuen!,DE,Über Feedback zum weiteren Vorgehen würde ich mich freuen!,
"mfg - Mit freundlichen Grüßen,",DE,"Mit freundlichen Grüßen,",
"sg - Sonnige Grüße,",DE,"Sonnige Grüße,",
"sog - Sommerliche Grüße,",DE,"Sommerliche Grüße,",
"wg - Winterliche Grüße,",DE,"Winterliche Grüße,",
"ivbd - Ich verbleibe bis dahin,",DE,"Ich verbleibe bis dahin,",
"bg - Beste Grüße,",DE,"Beste Grüße,",
"vdbg - Vielen Dank und beste Grüße,",DE,Vielen Dank und beste Grüße.,
fwft - Für weitere Fragen,DE,Für weitere Fragen stehe ich gerne auch telefonisch zur Verfügung!,
ass - Anliegen sichten,DE,"<p>Vielen Dank für Ihre Anfrage.</p><p>Wir werden Ihr Anliegen sichten
und uns schnellstmöglich mit Ihnen in Verbindung setzen.</p>",
vdv - vielen Dank im Voraus,DE,"Freundliche Grüße und vielen Dank im Voraus,",
hn - ich wollte höflich nachfragen,DE,"ich wollte höflich nachfragen,",
